mode,metric,mean,std,min,max
topology_control,f1_pr,0.938055514281468,0.01504639338886527,0.9170591211778326,0.9689113704105684
topology_control,precision,0.9252380952380953,0.03473580233302263,0.8761904761904762,0.9809523809523809
topology_control,recall,0.9528571428571428,0.02655162258942981,0.9,0.9857142857142858
topology_control,mmd_rbf,0.06097302287817001,0.014781248311984883,0.04281729459762573,0.0933070182800293
topology_control,mmd_linear,111.40654672980308,265.6560647790386,0.5428550839424133,902.9644165039062
decoded_node,f1_pr,0.9464692338819066,0.014987298095427154,0.9174785590023559,0.9642428047814953
decoded_node,precision,0.9628571428571429,0.03412661498508367,0.8809523809523809,0.9952380952380953
decoded_node,recall,0.931904761904762,0.02294131327703981,0.8952380952380953,0.9714285714285714
decoded_node,mmd_rbf,0.02996254563331604,0.00630110587584551,0.016844749450683594,0.038443684577941895
decoded_node,mmd_linear,13.040282875299454,22.714060205403445,0.8381195664405823,75.92953491210938
