mode,metric,mean,std,min,max
topology_control,f1_pr,0.9471689172213102,0.02059439536183571,0.8997832451498837,0.9705982439445476
topology_control,precision,0.9204761904761906,0.02873366636484874,0.8714285714285714,0.9714285714285714
topology_control,recall,0.9761904761904763,0.025994941074202256,0.9142857142857143,1.0
topology_control,mmd_rbf,0.014393997192382813,0.014857139064637565,4.589557647705078e-05,0.04412031173706055
topology_control,mmd_linear,31897858.685559083,94372367.63315715,1358.5140380859375,314998816.0
decoded_node,f1_pr,0.931658857703713,0.0276772099384547,0.8880477894889527,0.9879618086804904
decoded_node,precision,0.9480952380952381,0.031904761904761915,0.8809523809523809,0.9904761904761905
decoded_node,recall,0.9166666666666667,0.037023618128428894,0.8761904761904762,1.0
decoded_node,mmd_rbf,0.035544848442077635,0.01602338615665328,4.9233436584472656e-05,0.05076885223388672
decoded_node,mmd_linear,2380768.2062927247,7137209.401574746,492.92083740234375,23792396.0
