mode,metric,mean,std,min,max
topology_control,f1_pr,0.9240465113756298,0.024631214417146163,0.8757864022413719,0.9663013480064634
topology_control,precision,0.9061904761904762,0.031590491982137106,0.8571428571428571,0.9523809523809523
topology_control,recall,0.9433333333333334,0.02946614953219998,0.8952380952380953,0.9857142857142858
topology_control,mmd_rbf,0.0029302358627319334,0.002826364973796885,0.0007117986679077148,0.00790560245513916
topology_control,mmd_linear,496402974.8179687,1468675462.3619368,21394.5625,4902178816.0
decoded_node,f1_pr,0.8915401188727836,0.013085829054890651,0.8737611359997152,0.9155047339457768
decoded_node,precision,0.9385714285714286,0.03476190476190476,0.8666666666666667,0.9761904761904762
decoded_node,recall,0.8504761904761905,0.025305390963021746,0.8,0.8857142857142857
decoded_node,mmd_rbf,0.012079036235809327,0.009975926803468007,0.0004559755325317383,0.02734816074371338
decoded_node,mmd_linear,2542145.366748047,7381100.83927084,6618.775390625,24679900.0
