mode,metric,mean,std,min,max
topology_control,f1_pr,0.9417951171287466,0.011319216634789022,0.9234267936473737,0.9658321996812089
topology_control,precision,0.912857142857143,0.01952380952380952,0.8857142857142857,0.9523809523809523
topology_control,recall,0.9733333333333334,0.02295613484417896,0.9333333333333333,1.0
topology_control,mmd_rbf,0.011639559268951416,0.01208500118727203,4.589557647705078e-05,0.03570592403411865
topology_control,mmd_linear,29841839.85189209,88289352.07376477,1284.7689208984375,294694816.0
decoded_node,f1_pr,0.8961579366967081,0.025972244144778018,0.8505047627439555,0.9387441957376654
decoded_node,precision,0.9485714285714286,0.024168719124665748,0.9047619047619048,0.9809523809523809
decoded_node,recall,0.85,0.03696232070538101,0.7714285714285715,0.9
decoded_node,mmd_rbf,0.04837142527103424,0.004798395549741805,0.04218137264251709,0.06131172180175781
decoded_node,mmd_linear,532.9975891113281,229.2436484846222,197.72036743164062,866.4075317382812
