rollout,graph_index,target_nodes,mode,raw_nodes,raw_edges,lcc_nodes,lcc_edges
1,8,49,full_threshold_0p5,17,16,13,13
1,8,49,cropped_threshold_0p5,16,15,12,12
1,8,49,cropped_calibrated,4,3,4,3
1,8,49,cropped_fixed_budget,39,45,39,45
1,9,85,full_threshold_0p5,26,32,26,32
1,9,85,cropped_threshold_0p5,25,30,25,30
1,9,85,cropped_calibrated,6,4,3,2
1,9,85,cropped_fixed_budget,36,45,30,42
1,10,74,full_threshold_0p5,15,13,13,12
1,10,74,cropped_threshold_0p5,14,12,12,11
1,10,74,cropped_calibrated,3,2,3,2
1,10,74,cropped_fixed_budget,36,45,32,43
1,11,48,full_threshold_0p5,29,25,16,16
1,11,48,cropped_threshold_0p5,19,18,16,16
1,11,48,cropped_calibrated,3,2,3,2
1,11,48,cropped_fixed_budget,37,45,37,45
1,12,95,full_threshold_0p5,31,28,21,23
1,12,95,cropped_threshold_0p5,31,28,21,23
1,12,95,cropped_calibrated,3,2,3,2
1,12,95,cropped_fixed_budget,40,45,30,37
1,13,58,full_threshold_0p5,68,68,62,63
1,13,58,cropped_threshold_0p5,56,56,50,51
1,13,58,cropped_calibrated,11,8,4,3
1,13,58,cropped_fixed_budget,51,45,25,24
1,14,43,full_threshold_0p5,98,4608,98,4608
1,14,43,cropped_threshold_0p5,43,811,43,811
1,14,43,cropped_calibrated,39,49,37,48
1,14,43,cropped_fixed_budget,39,45,37,44
1,15,36,full_threshold_0p5,35,35,26,30
1,15,36,cropped_threshold_0p5,24,26,20,24
1,15,36,cropped_calibrated,9,8,9,8
1,15,36,cropped_fixed_budget,31,45,31,45
1,16,50,full_threshold_0p5,50,48,21,23
1,16,50,cropped_threshold_0p5,24,25,21,23
1,16,50,cropped_calibrated,4,3,4,3
1,16,50,cropped_fixed_budget,41,45,30,36
1,17,68,full_threshold_0p5,92,109,92,109
1,17,68,cropped_threshold_0p5,67,82,67,82
1,17,68,cropped_calibrated,5,3,3,2
1,17,68,cropped_fixed_budget,51,45,27,26
1,18,65,full_threshold_0p5,98,4744,98,4744
1,18,65,cropped_threshold_0p5,65,2071,65,2071
1,18,65,cropped_calibrated,65,1950,65,1950
1,18,65,cropped_fixed_budget,33,45,33,45
1,19,96,full_threshold_0p5,23,19,16,15
1,19,96,cropped_threshold_0p5,21,18,16,15
1,19,96,cropped_calibrated,3,2,3,2
1,19,96,cropped_fixed_budget,48,45,23,28
2,0,30,full_threshold_0p5,97,542,97,542
2,0,30,cropped_threshold_0p5,30,117,30,117
2,0,30,cropped_calibrated,8,5,4,3
2,0,30,cropped_fixed_budget,30,45,30,45
2,1,71,full_threshold_0p5,16,14,13,12
2,1,71,cropped_threshold_0p5,16,14,13,12
2,1,71,cropped_calibrated,5,4,5,4
2,1,71,cropped_fixed_budget,36,45,32,43
2,2,73,full_threshold_0p5,19,17,17,16
2,2,73,cropped_threshold_0p5,19,17,17,16
2,2,73,cropped_calibrated,4,3,4,3
2,2,73,cropped_fixed_budget,40,45,34,42
2,3,92,full_threshold_0p5,43,35,19,18
2,3,92,cropped_threshold_0p5,39,33,19,18
2,3,92,cropped_calibrated,3,2,3,2
2,3,92,cropped_fixed_budget,43,45,43,45
2,4,86,full_threshold_0p5,31,29,19,21
2,4,86,cropped_threshold_0p5,29,27,19,21
2,4,86,cropped_calibrated,9,6,5,4
2,4,86,cropped_fixed_budget,46,45,30,33
2,5,25,full_threshold_0p5,43,43,43,43
2,5,25,cropped_threshold_0p5,18,18,18,18
2,5,25,cropped_calibrated,7,6,7,6
2,5,25,cropped_fixed_budget,24,45,24,45
2,6,74,full_threshold_0p5,27,28,27,28
2,6,74,cropped_threshold_0p5,27,28,27,28
2,6,74,cropped_calibrated,6,4,4,3
2,6,74,cropped_fixed_budget,45,45,32,37
2,7,23,full_threshold_0p5,98,2809,98,2809
2,7,23,cropped_threshold_0p5,23,97,23,97
2,7,23,cropped_calibrated,10,8,8,7
2,7,23,cropped_fixed_budget,23,45,23,45
2,8,49,full_threshold_0p5,22,17,12,11
2,8,49,cropped_threshold_0p5,22,17,12,11
2,8,49,cropped_calibrated,6,4,3,2
2,8,49,cropped_fixed_budget,34,45,29,42
2,9,85,full_threshold_0p5,67,65,60,60
2,9,85,cropped_threshold_0p5,67,65,60,60
2,9,85,cropped_calibrated,2,1,2,1
2,9,85,cropped_fixed_budget,52,45,30,29
2,10,74,full_threshold_0p5,25,22,14,14
2,10,74,cropped_threshold_0p5,25,22,14,14
2,10,74,cropped_calibrated,3,2,3,2
2,10,74,cropped_fixed_budget,43,45,29,33
2,11,48,full_threshold_0p5,77,113,77,113
2,11,48,cropped_threshold_0p5,48,84,48,84
2,11,48,cropped_calibrated,6,4,3,2
2,11,48,cropped_fixed_budget,44,45,40,43
2,12,95,full_threshold_0p5,92,98,90,97
2,12,95,cropped_threshold_0p5,90,97,90,97
2,12,95,cropped_calibrated,2,1,2,1
2,12,95,cropped_fixed_budget,51,45,29,28
2,13,58,full_threshold_0p5,21,18,14,14
2,13,58,cropped_threshold_0p5,18,16,14,14
2,13,58,cropped_calibrated,3,2,3,2
2,13,58,cropped_fixed_budget,42,45,33,39
2,14,43,full_threshold_0p5,36,34,20,19
2,14,43,cropped_threshold_0p5,35,33,20,19
2,14,43,cropped_calibrated,6,5,6,5
2,14,43,cropped_fixed_budget,42,45,42,45
2,15,36,full_threshold_0p5,36,32,26,26
2,15,36,cropped_threshold_0p5,23,22,20,20
