seed,val_f1_pr,val_mmd_rbf,test_f1_pr,test_mmd_rbf,precision,recall,degree,clustering,orbit,spectral,diameter,third_party_f1_pr,third_party_mmd_rbf,third_party_linear_mmd_trimmed
0,0.8823636180047748,0.0002500653266906738,0.9357556188073113,0.0901634931564331,0.9676190476190476,0.9071428571428573,0.042429092580891004,0.029670349724877084,0.01639139643493981,0.021644523261086457,0.03576987035146051,0.8669014598375661,0.08449122309684753,18.61218848824501
1,0.8824532361703532,0.04982810467481613,0.9418098073234649,0.07341820299625397,0.9538095238095238,0.9314285714285715,0.04400308750431514,0.03003866468800324,0.011760084221329459,0.02418416436051274,0.043625946333840704,0.9110427607621097,0.06719699800014496,29.101385064423084
2,0.8735973024251994,0.04633294492959976,0.9613729839176048,0.0007152438163757324,0.94688995215311,0.9776190476190477,0.04356493140534212,0.0291131145993737,0.022161404283762565,0.021041618402892537,0.032886832632086915,0.911553735524716,0.0013151168823242188,3445981.484375
