condition,seed,checkpoint,validation_selection_score,degree_mean,clustering_mean,orbit_mean,spectral_mean,diameter_mean,degree_std,clustering_std,orbit_std,spectral_std,diameter_std,lcc_nodes_mean,lcc_nodes_std,raw_nodes_mean,raw_nodes_std,lcc_edges_mean,lcc_edges_std,reference_nodes_mean,reference_edges_mean
lobster_kiarash_parity_kia40_2000_legacy,0,periodic_epoch_12000.pt,0.3310125401952928,0.004425704606688519,4.04882613744606e-05,0.050714551714756695,0.03142085806899553,0.2620642275190465,0.0017971864944510254,0.0001214647841233818,0.0272575602611695,0.011485193702797922,0.08037345776163679,32.769999999999996,5.627219562092811,39.690000000000005,5.6085113889516185,32.235,5.645619983668755,62.05,61.05
lobster_kiarash_parity_kia40_2000_legacy,1,periodic_epoch_16000.pt,0.26483989260596746,0.0049866525183231095,0.0,0.0440089320267697,0.027816565667756275,0.22958206157684335,0.0026523766301045078,0.0,0.01579089754538365,0.007700657299806045,0.07095538230058428,36.685,5.657386764222507,42.055,5.259964353491381,36.31,5.741332597925328,62.05,61.05
lobster_kiarash_parity_kia40_2000_legacy,2,periodic_epoch_08000.pt,0.2339150175760485,0.011903779660028114,2.5349396350105023e-05,0.03267530963753231,0.02707998092001218,0.15559187032372904,0.0104452939871073,7.604818905031508e-05,0.02409053914423554,0.012193844905250665,0.08691778196880255,36.970000000000006,5.968844109205735,46.00500000000001,6.447846539737124,37.775000000000006,6.408480709185289,62.05,61.05
lobster_kiarash_parity_kia40_2000_corrected,0,periodic_epoch_20000.pt,0.3512542187926601,0.013107217920962722,0.0,0.04592341186305522,0.035940090730988736,0.32244505854020056,0.006606864741030093,0.0,0.013065121979218285,0.009527234548262467,0.05608766857331076,29.82,3.6962954427372288,38.99499999999999,3.92902341555761,30.244999999999997,3.9059217862112914,62.05,61.05
lobster_kiarash_parity_kia40_2000_corrected,1,periodic_epoch_20000.pt,0.25981524399091344,0.013171485375323089,0.0,0.0518839016740039,0.037606164290436304,0.29842548751157694,0.007821812195364224,0.0,0.032378689795752244,0.013557967766553342,0.1070745970913477,30.2,5.318223387560925,38.97,4.517255804135958,30.490000000000002,5.507304240733393,62.05,61.05
lobster_kiarash_parity_kia40_2000_corrected,2,periodic_epoch_20000.pt,0.34477051888637783,0.009179238028603164,0.0,0.04783259578461831,0.03384595136426001,0.2982437189042556,0.004906514414300177,0.0,0.012445068401031201,0.006204854905645469,0.0859552194972116,30.3,4.014722904510347,38.0,3.8061135032996587,30.795000000000005,4.181474022399279,62.05,61.05
lobster_kiarash_parity_plain1_1_legacy,0,periodic_epoch_16000.pt,1.908674706795425,0.10428130603793564,0.562889900973554,0.47825175448511315,0.10201812323382761,0.6599311077046384,0.01838445293227037,0.12262591562045289,0.1193812492915842,0.015912045143106866,0.12015860581398473,34.144999999999996,6.575920087713962,38.42999999999999,6.894787886512535,489.84,384.89835788166204,62.05,61.05
lobster_kiarash_parity_plain1_1_legacy,1,periodic_epoch_04000.pt,2.0724864478490708,0.10313681692971008,0.5414988514471626,0.7116169269270032,0.10451553167468657,0.4098061773948027,0.010910211245293474,0.08236617560067226,0.12886007832195698,0.01062774940369821,0.09175953967971683,41.055,3.4734313006017548,44.505,3.31198203497543,560.54,225.52762003799003,62.05,61.05
lobster_kiarash_parity_plain1_1_legacy,2,periodic_epoch_16000.pt,1.754167009454665,0.06461861485946101,0.410707112723674,0.546575779733744,0.07994852718651266,0.5212428720304623,0.006648633703334698,0.09661022796792681,0.11838474583427308,0.008774470269633716,0.13216998706596253,36.255,5.320218510550108,41.325,6.421224571684126,287.55499999999995,226.47925340966663,62.05,61.05
lobster_kiarash_parity_plain1_1_corrected,0,periodic_epoch_08000.pt,1.5770504773959115,0.06817313658604499,0.3001973997017347,0.6327194086053107,0.09268596984890413,0.5991058478667253,0.01160716077942219,0.11002573479168383,0.10319176519868681,0.010916889794201275,0.13645922574963457,33.239999999999995,3.9718887194884998,38.230000000000004,3.88331044342324,171.69,136.5321588491151,62.05,61.05
lobster_kiarash_parity_plain1_1_corrected,1,periodic_epoch_08000.pt,2.091248749700162,0.09216398851368449,0.6630131085366033,0.658101197448333,0.10914526686160449,0.6444181621169741,0.019088121833240584,0.1120320719413857,0.09220441815955677,0.018533019673776244,0.05902280259850706,43.805,5.5973855504154795,46.875,5.0845476691638956,714.295,368.96243877256666,62.05,61.05
lobster_kiarash_parity_plain1_1_corrected,2,periodic_epoch_20000.pt,1.4814069187704813,0.048737865177993965,0.13726516144485645,0.4760393548798409,0.06922963621751091,0.5139107935899103,0.006631255831677305,0.07732774951079391,0.15998188092536375,0.0094547636114267,0.09167085806476383,36.260000000000005,3.614470915638969,41.36,4.220473907039351,208.91500000000002,168.77155277178673,62.05,61.05
