condition,f1_pr_mean,f1_pr_seed_std,mmd_rbf_mean,mmd_rbf_seed_std,training_seeds,repeats_per_seed
lobster_kiarash_parity_kia40_2000_legacy,0.9778181870697018,0.036239454913783144,0.3121358791987101,0.1670639411352808,3,10
lobster_kiarash_parity_kia40_2000_corrected,0.9906082930089606,0.014121972141289789,0.36310822367668155,0.08622584267560868,3,10
lobster_kiarash_parity_plain1_1_legacy,0.5094391466922955,0.06807265068185071,0.023370043436686198,0.020128179235885224,3,10
lobster_kiarash_parity_plain1_1_corrected,0.5663715815453367,0.02974174995185336,0.11509644091129304,0.1497482587987398,3,10
