run_dir,num_generated_graphs,num_reference_graphs,repeats,structural_features,f1_pr_mean,f1_pr_std,mmd_rbf_mean,mmd_rbf_std,mmd_linear_mean,mmd_linear_std,mmd_linear_median,mmd_linear_trimmed_mean,mmd_linear_min,mmd_linear_max,mmd_linear_max_to_median_ratio,mmd_linear_mean_to_median_ratio,precision_mean,precision_std,recall_mean,recall_std
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity/seed_0/lobster_kiarash_parity_kia40_2000_corrected__cs-cl-13_gpu0/seed_0,20,20,10,True,1.00001,0.0,0.4611652135848999,0.005109060597107761,77.00564079284668,10.683882953363598,80.0289192199707,76.9868392944336,62.476009368896484,91.68568420410156,1.1456569087493311,0.962222675795307,1.0,0.0,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity/seed_0/lobster_kiarash_parity_kia40_2000_legacy__cs-cl-09_gpu1/seed_0,20,20,10,True,0.9974458980933528,0.007692305719941329,0.19250647425651551,0.004504921663517263,28.687083625793456,3.9142458659377257,30.00156021118164,28.73654007911682,23.106151580810547,33.87236404418945,1.1290200844809783,0.9561863924364081,1.0,0.0,0.9949999999999999,0.015000000000000015
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity/seed_0/lobster_kiarash_parity_plain1_1_corrected__cs-cl-18_gpu0/seed_0,20,20,10,True,0.5568141807527917,0.1738524566879401,0.005124056339263916,6.0174366180720576e-05,1441249701.2,3753659508.163724,104306852.0,209389260.0,48636436.0,12688746496.0,121.6482546707478,13.817401959365048,0.625,0.13462912017836262,0.525,0.19906029237394382
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity/seed_0/lobster_kiarash_parity_plain1_1_legacy__cs-cl-16_gpu0/seed_0,20,20,10,True,0.5098826049896367,0.118231951978623,0.04497053623199463,5.371248347322482e-06,13169973113.6,34308703438.758873,952875840.0,1910261632.0,444329664.0,115973308416.0,121.70873008596797,13.821289784826531,0.485,0.09759610647971567,0.555,0.18634645153584223
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity_fixed_split/seed_1/lobster_kiarash_parity_kia40_2000_corrected__cs-cl-19_gpu0/seed_1,20,20,10,True,0.9974458980933528,0.007692305719941329,0.329030179977417,0.006135682847693273,50.959524154663086,7.193649414043526,52.7640495300293,50.92182540893555,40.678218841552734,61.54241943359375,1.1663702839670878,0.9658000970084903,0.9949999999999999,0.015000000000000015,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity_fixed_split/seed_1/lobster_kiarash_parity_kia40_2000_legacy__cs-cl-18_gpu1/seed_1,20,20,10,True,1.00001,0.0,0.5030115008354187,0.007081325190288834,82.77606353759765,11.612218497502774,85.95771408081055,82.70973205566406,66.14404296875,99.93873596191406,1.1626499963454087,0.9629858637210644,1.0,0.0,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity_fixed_split/seed_1/lobster_kiarash_parity_plain1_1_corrected__cs-cl-26_gpu0/seed_1,20,20,10,True,0.5425834522651023,0.11028818262520433,0.054522705078125,0.00018869958623670847,11068032137.6,28694794818.332817,813819584.0,1657023656.0,381814816.0,97042317312.0,119.24303521307249,13.60010542287466,0.45,0.14662878298615178,0.78,0.12688577540449522
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity_fixed_split/seed_1/lobster_kiarash_parity_plain1_1_legacy__cs-cl-19_gpu1/seed_1,20,20,10,True,0.4411458502088914,0.11975563434307201,0.019999980926513672,0.0,5906842811.2,15389505640.601479,427384512.0,856094496.0,199284304.0,52020387840.0,121.71799955165432,13.820909848974592,0.37499999999999994,0.1289379695822763,0.5650000000000001,0.08958236433584459
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity_fixed_split/seed_2/lobster_kiarash_parity_kia40_2000_corrected__cs-cl-16_gpu0/seed_2,20,20,10,True,0.9743689809335289,1.1102230246251565e-16,0.29912927746772766,0.005744819346226802,40.965636825561525,5.640475786258904,42.17938804626465,40.849514961242676,33.69013595581055,49.17011260986328,1.1657379323742398,0.9712240675618192,0.9499999999999998,1.1102230246251565e-16,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity_fixed_split/seed_2/lobster_kiarash_parity_kia40_2000_legacy__cs-cl-26_gpu1/seed_2,20,20,10,True,0.9359986631157525,0.013937334096963789,0.24088966250419616,0.011559072337732127,13.38162899017334,2.310855886900833,12.8242826461792,13.403621673583984,9.892332077026367,16.694984436035156,1.3018259887627457,1.0434602355056635,0.8800000000000001,0.024494897427831803,1.0,0.0
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity_fixed_split/seed_2/lobster_kiarash_parity_plain1_1_corrected__cs-cl-18_gpu0/seed_2,20,20,10,True,0.5997171116181164,0.0614260311928333,0.2856425613164902,0.028230245943949486,140.11930351257325,210.5041747030557,53.11670684814453,75.93186712265015,32.11065673828125,761.62744140625,14.338754915354002,2.637951631925538,0.55,0.09219544457292886,0.7000000000000001,0.14317821063276354
/local-scratch2/mirzaei/Abdolreza/GraphVAE-REQ/collected_runs/20260724/lobster_kiarash_parity_fixed_split/seed_2/lobster_kiarash_parity_plain1_1_legacy__cs-cl-16_gpu0/seed_2,20,20,10,True,0.5772889848783584,0.12679220595814983,0.005139613151550293,7.307919932102503e-05,1475312604.0,3843640127.248106,106748384.0,213855003.0,49787328.0,12992498688.0,121.71143207188973,13.820467802116799,0.5050000000000001,0.1386542462386205,0.7,0.15652475842498526
