dataset,setting,method,status,degree,clustering,orbit,spectral,diameter,triangles,avg_edges_test,avg_edges_generated,sparsity,final_step,note
LOBSTER,01,GraphVAE,evaluated,0.001598436105430201,0.004132672043969832,0.00231636660524015,0.014997332735007252,0.10452149385296072,2.0079321005894712e-07,45.4,52.91428571428571,1.7122505635569496e-08,10000,
LOBSTER,02,GraphVAE-MM,evaluated,0.0015092522619881699,0.0,0.0008073366346530442,0.012506080032651079,0.12596683015619214,0.0,45.4,50.84285714285714,1.4585210594830755e-08,10000,
LOBSTER,03,GraphVAE+Motif orig no-temp,evaluated,0.16984047001462055,0.790358414852447,0.7391149163253176,0.1263003078658631,0.039197923183323824,0.005029682103075084,45.4,142.94285714285715,4.2142611178519473e-08,10000,
LOBSTER,04,GraphVAE+Motif literals no-temp,evaluated,0.1347914854204011,0.656363533986827,0.6485976552731445,0.08375922926505219,0.02870597983394474,0.0013547825150415083,45.4,100.2,4.621522009529144e-08,10000,
LOBSTER,05,GraphVAE+Motif both no-temp,evaluated,0.07492619438046644,0.5360229129474571,0.4576568058414908,0.05385504444338585,0.03285905901015773,0.0006589616361809547,45.4,89.2,7.744103358575671e-09,10000,
LOBSTER,06,GraphVAE+Motif orig annealed,evaluated,0.15456794160912835,0.7615339878531292,0.6791973039636121,0.10862419482472152,0.047942982284619795,0.005381764210001361,45.4,133.17142857142858,6.803111185504918e-08,10000,
LOBSTER,07,GraphVAE+Motif literals annealed,evaluated,0.10716528344143139,0.47391877353802203,0.5362050805568854,0.058194733841476776,0.02496771281361687,0.0004207491408096953,45.4,87.61428571428571,1.1512336195451667e-08,10000,
LOBSTER,08,GraphVAE+Motif both annealed,evaluated,0.08194361303266895,0.5291236576522835,0.4715161848104459,0.05521117441860124,0.016390403932871833,0.0006238144206529572,45.4,91.65714285714286,2.7120734547025904e-09,10000,
LOBSTER,09,GraphVAE-MM+Motif orig no-temp,evaluated,0.0013771746677884167,2.355926960917465e-05,0.0010773215692163607,0.012361136830264297,0.1132799441638822,6.741207592142473e-11,45.4,50.885714285714286,8.019101382927829e-09,10000,
LOBSTER,10,GraphVAE-MM+Motif literals no-temp,evaluated,0.002117174299322011,0.0,0.0014742441214063984,0.013965223868392274,0.11862627390847547,0.0,45.4,50.82857142857143,1.2208011934689011e-08,10000,
LOBSTER,11,GraphVAE-MM+Motif both no-temp,evaluated,0.0020445563151665347,0.0,0.0008716485842927835,0.01365095429520169,0.12590738109742183,0.0,45.4,51.02857142857143,1.5616689941211348e-08,10000,
GRID,01,GraphVAE,evaluated,0.009426071313300755,0.017108549448964894,0.10143585851906711,0.012871122389021883,0.0748286751092514,3.2924436066394946e-07,397.5,408.3142857142857,1.6942669489594664e-10,20000,
GRID,02,GraphVAE-MM,evaluated,0.1528371351979836,0.0,0.7462150301118659,0.02204521149227534,0.10462791512238545,0.0,397.5,496.4142857142857,3.0450097998624415e-09,20000,
GRID,03,GraphVAE+Motif orig no-temp,evaluated,0.3928625946436033,0.9760352547532646,1.1727323325442869,0.0577811962408592,0.21978381287720783,0.0018498556987558423,397.5,714.875,2.3543309968232506e-08,80000,
GRID,04,GraphVAE+Motif literals no-temp,not available,,,,,,,,,,,OOM/no generated graphs
GRID,05,GraphVAE+Motif both no-temp,evaluated,0.44620847601768276,1.0907605046676574,1.2160166795658096,0.054388614844237626,0.26568219672998794,0.0028871736732059006,397.5,862.375,1.754979495061093e-08,80000,
GRID,06,GraphVAE+Motif orig annealed,evaluated,0.4542011086371833,1.1926948018691972,1.1608392339261875,0.050441488332714446,0.6821499877880175,0.002337120978335605,397.5,815.5625,1.3601953563480151e-08,80000,
GRID,07,GraphVAE+Motif literals annealed,not available,,,,,,,,,,,OOM/no generated graphs
GRID,08,GraphVAE+Motif both annealed,not available,,,,,,,,,,,OOM/no generated graphs
GRID,09,GraphVAE-MM+Motif orig no-temp,not available,,,,,,,,,,,OOM/no generated graphs
GRID,10,GraphVAE-MM+Motif literals no-temp,not available,,,,,,,,,,,OOM/no generated graphs
GRID,11,GraphVAE-MM+Motif both no-temp,not available,,,,,,,,,,,OOM/no generated graphs
