Source,Setting,Model,Dataset,Status,Rank,Normalized Score,Normalized Score Source,Best Val Score,Best Val Epoch,Best Val Degree,Best Val Clustering,Best Val Orbit,Best Val Spectral,Best Val Diameter,Best Val MMD RBF,Best Val Precision,Best Val Recall,Best Val F1-PR,alpha_node_feat,alpha_edge_feat,alpha_motif_loss,alpha_syntactic_literal_motif_loss,alpha_kernel_cost,alpha_adj_recon,rule_mode,motif_temperature_start,motif_temperature_end,motif_temperature_guard_ratio,motif_temperature_guard_relax_factor,motif_temperature_guard_sharpen_factor,Degree,Clustering,Orbit,Spectral,Diameter,MMD RBF,MMD RBF Std,MMD Linear,MMD Linear Std,MMD Linear Median,MMD Linear Trimmed Mean,MMD Linear Min,MMD Linear Max,MMD Linear Mean/Median,Precision,Precision Std,Recall,Recall Std,F1-PR,F1-PR Std,Local MMD RBF,Local MMD RBF Std,Local Precision,Local Precision Std,Local Recall,Local Recall Std,Local F1-PR,Local F1-PR Std,Triangles,Sparsity,Avg Edges Test,Avg Edges Generated,Num Generated Graphs,Num Reference Graphs,Repeats,Run Dir,Config,Notes
lobster_docx_20260708,01,GraphVAE,LOBSTER,evaluated,13,1.50890316374,docx_table2_plus_docx_table3,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.6085,0.1823,0.0392,0.3609,0.2018,,51.8075,,,,,,,0.76,,0.965,,0.844205,,,,,,,,,,,,,,,,,,reports/lobster.docx,DOCX F1 PR cell `844205` interpreted as 0.844205
lobster_docx_20260708,02,GraphVAE-MM,LOBSTER,evaluated,1,0.305408602812,docx_table2_plus_docx_table3,,,,,,,,,,,,,,,,,,,,,,,,0.0014,0,0.014,0.0119,0.099,0.1103,,17.3809,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,reports/lobster.docx,
lobster_docx_20260708,03,GraphVAE motif original,LOBSTER,evaluated,6,1.11338138353,docx_table2_plus_docx_table3,,,,,,,,,,,,,,,,,,,,,,,,0.0286,0.1782,0.0493,0.0447,0.2221,0.2897,,85.9737,,,,,,,0.85,,1,,0.9175,,,,,,,,,,,,,,,,,,reports/lobster.docx,
lobster_docx_20260708,04,GraphVAE motif literals,LOBSTER,evaluated,24,3.11366883035,docx_table2_plus_docx_table3,,,,,,,,,,,,,,,,,,,,,,,,0.0328,0.0267,0.1133,0.0909,0.6215,0.7667,,127.1183,,,,,,,0.99,,0.49,,0.6529,,,,,,,,,,,,,,,,,,reports/lobster.docx,
lobster_docx_20260708,05,GraphVAE motif both,LOBSTER,evaluated,8,1.25326479718,docx_table2_plus_docx_table3,,,,,,,,,,,,,,,,,,,,,,,,0.0344,0.0991,0.0519,0.0578,0.2725,0.4238,,83.5399,,,,,,,0.935,,1,,0.9654,,,,,,,,,,,,,,,,,,reports/lobster.docx,
lobster_docx_20260708,06,GraphVAE motif original temp,LOBSTER,evaluated,3,0.465120983015,docx_table2_plus_docx_table3,,,,,,,,,,,,,,,,,,,,,,,,0.0296,0.0381,0.0268,0.0331,0.0228,0.1999,,13.1825,,,,,,,1,,1,,1,,,,,,,,,,,,45.4,28.7,,,,,reports/lobster.docx,Source metrics CSV says this was a post-hoc eval on a saved best-validation generated graph sample; the source run crashed before normal finalization.
lobster_docx_20260708,07,GraphVAE motif literals temp,LOBSTER,evaluated,25,3.48215201485,docx_table2_plus_docx_table3,,,,,,,,,,,,,,,,,,,,,,,,0.0222,0.021,0.1594,0.079,0.4847,0.8476,,131.8151,,,,,,,1,,0.2,,0.3333,,,,,,,,,,,,,,,,,,reports/lobster.docx,
lobster_docx_20260708,08,GraphVAE motif both temp,LOBSTER,evaluated,12,1.42132603734,docx_table2_plus_docx_table3,,,,,,,,,,,,,,,,,,,,,,,,0.0306,0.0427,0.0806,0.0729,0.2819,0.48,,66.2002,,,,,,,0.905,,1,,0.9495,,,,,,,,,,,,,,,,,,reports/lobster.docx,
lobster_docx_20260708,09,GraphVAE-MM motif original,LOBSTER,evaluated,2,0.396766088442,docx_table2_plus_docx_table3,,,,,,,,,,,,,,,,,,,,,,,,0.0032,0,0.0078,0.0181,0.1287,0.1396,,18.4406,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,reports/lobster.docx,
lobster_docx_20260708,10,GraphVAE-MM motif literals,LOBSTER,evaluated,4,0.843228083381,docx_table2_plus_docx_table3,,,,,,,,,,,,,,,,,,,,,,,,0.0045,0,0.0211,0.0337,0.2889,0.2745,,43.9827,,,,,,,1,,0.98,,0.9898,,,,,,,,,,,,,,,,,,reports/lobster.docx,
