mode,metric,mean,std,min,max
topology_control,f1_pr,0.9371316116510917,0.03032629667630092,0.8895084503157692,0.9785756355591406
topology_control,precision,0.9090476190476192,0.041809957693811135,0.8380952380952381,0.9761904761904762
topology_control,recall,0.9676190476190476,0.02301532566398966,0.9095238095238095,0.9857142857142858
topology_control,mmd_rbf,0.07749488949775696,0.008739285689364927,0.06898656487464905,0.09719493985176086
topology_control,mmd_linear,2.491367256641388,0.4756186573428889,1.8090531826019287,3.4318647384643555
decoded_node,f1_pr,0.9129291957041357,0.014334617230028225,0.8828235086444022,0.9361473184298422
decoded_node,precision,0.9585714285714285,0.027688746209726903,0.9047619047619048,0.9952380952380953
decoded_node,recall,0.871904761904762,0.014037526640936824,0.8428571428571429,0.8952380952380953
decoded_node,mmd_rbf,0.04577544331550598,0.004589349657886778,0.039234042167663574,0.05356031656265259
decoded_node,mmd_linear,2.7771452188491823,0.4091125489341005,2.342949390411377,3.752105236053467
