mode,metric,mean,std,min,max
topology_control,f1_pr,0.8608090628367,0.03836556165594625,0.797240529075503,0.9266034278949522
topology_control,precision,0.9133333333333334,0.036502415041403426,0.8523809523809524,0.9714285714285714
topology_control,recall,0.8147619047619047,0.04667881280223233,0.7380952380952381,0.8857142857142857
topology_control,mmd_rbf,0.10262138545513153,0.010939393796952543,0.08910709619522095,0.12394657731056213
topology_control,mmd_linear,3.9737014055252073,0.7464305853742292,2.881682872772217,5.449731826782227
decoded_node,f1_pr,0.8414739442927199,0.021077632552911833,0.789453501302809,0.8675850032288459
decoded_node,precision,0.9295238095238096,0.04640353415268508,0.819047619047619,0.9809523809523809
decoded_node,recall,0.7699999999999999,0.020871054286486796,0.7285714285714285,0.8
decoded_node,mmd_rbf,0.06144368648529053,0.00591430815453158,0.054336488246917725,0.07238352298736572
decoded_node,mmd_linear,4.141046929359436,0.41576545339466087,3.6264989376068115,4.897834777832031
