condition,seed,checkpoint,validation_selection_score,degree_mean,clustering_mean,orbit_mean,spectral_mean,diameter_mean,degree_std,clustering_std,orbit_std,spectral_std,diameter_std,lcc_nodes_mean,lcc_nodes_std,raw_nodes_mean,raw_nodes_std,lcc_edges_mean,lcc_edges_std,reference_nodes_mean,reference_edges_mean
lobster_graphvae_mm_fixed_split_matched1_legacy,0,periodic_epoch_12000.pt,0.25641252918885793,0.007540204168722431,8.544528371963178e-05,0.030653495415995623,0.02878854199697829,0.22739465706162534,0.005926697862594035,0.0001709679816490404,0.012454862125894105,0.011841051958913624,0.10524091572873948,36.03,6.973205862442324,42.160000000000004,5.602401270883764,36.59,7.163651303630013,62.05,61.05
lobster_graphvae_mm_fixed_split_matched1_legacy,1,periodic_epoch_12000.pt,0.3339692648920862,0.006563515262325547,3.019187747628216e-05,0.033768099562346096,0.028842531090516398,0.21683155489837058,0.0038078129669416034,9.057563242884647e-05,0.020673101718175275,0.0075198949781828785,0.11699115856109506,36.019999999999996,5.0281308654409544,42.545,3.578299176983389,36.06,5.467668607368226,62.05,61.05
lobster_graphvae_mm_fixed_split_matched1_legacy,2,periodic_epoch_20000.pt,0.35038966746615213,0.005401144717827067,0.0001612254838340821,0.05034913377005272,0.03159474471481882,0.20818724050081766,0.002984216379667776,0.00048367645150224623,0.021840967832110238,0.008633772850431227,0.0703765049068104,35.455,5.315846592970869,41.675,4.776570422384664,34.980000000000004,5.5888818201855,62.05,61.05
lobster_kiarash_parity_kia40_2000_legacy,0,periodic_epoch_12000.pt,0.3310125401952928,0.004425704606688519,4.04882613744606e-05,0.050714551714756695,0.03142085806899553,0.2620642275190465,0.0017971864944510254,0.0001214647841233818,0.0272575602611695,0.011485193702797922,0.08037345776163679,32.769999999999996,5.627219562092811,39.690000000000005,5.6085113889516185,32.235,5.645619983668755,62.05,61.05
lobster_kiarash_parity_kia40_2000_legacy,1,periodic_epoch_16000.pt,0.26483989260596746,0.0049866525183231095,0.0,0.0440089320267697,0.027816565667756275,0.22958206157684335,0.0026523766301045078,0.0,0.01579089754538365,0.007700657299806045,0.07095538230058428,36.685,5.657386764222507,42.055,5.259964353491381,36.31,5.741332597925328,62.05,61.05
lobster_kiarash_parity_kia40_2000_legacy,2,periodic_epoch_08000.pt,0.2339150175760485,0.011903779660028114,2.5349396350105023e-05,0.03267530963753231,0.02707998092001218,0.15559187032372904,0.0104452939871073,7.604818905031508e-05,0.02409053914423554,0.012193844905250665,0.08691778196880255,36.970000000000006,5.968844109205735,46.00500000000001,6.447846539737124,37.775000000000006,6.408480709185289,62.05,61.05
lobster_graphvae_mm_fixed_split_native40_legacy,0,periodic_epoch_20000.pt,0.3304129565138802,0.006740675821908804,0.0,0.05380610328725064,0.034045649098639254,0.24343456268902205,0.0025066174964693435,0.0,0.02362903649977526,0.008099755624206983,0.09054113383696855,35.30499999999999,6.210694405620035,40.265,6.2030657742764586,34.77,6.11421295016783,62.05,61.05
lobster_graphvae_mm_fixed_split_native40_legacy,1,periodic_epoch_12000.pt,0.3124971447503557,0.009497857361754746,0.0,0.06555729640567128,0.04279570509379753,0.36536007028675027,0.005272064149194271,0.0,0.02460014126943437,0.008320356837450077,0.06603131820104216,26.870000000000005,3.498299586942205,33.28,4.322742185233813,26.630000000000003,3.660546407300419,62.05,61.05
lobster_graphvae_mm_fixed_split_native40_legacy,2,periodic_epoch_16000.pt,0.2998474398877239,0.0064455395168692585,0.0,0.05556388749454648,0.030188347134172754,0.23953466058493267,0.003983670915944532,0.0,0.02788701953345364,0.00874737512124007,0.09304843680396595,34.295,5.216821350209341,39.2,4.283047980118831,33.78,5.332785388518837,62.05,61.05
lobster_kiarash_parity_kia40_2000_feature40_legacy,0,periodic_epoch_12000.pt,0.36420223155258313,0.007130017633401886,4.769213963657925e-05,0.06227121899693679,0.036455679633923176,0.33147313217074387,0.004156539059142352,0.00014307641890973777,0.031006290395459345,0.009322535465989717,0.14333337193241077,28.375,4.75553624736475,35.855,5.119396937140155,28.264999999999997,4.896838265656729,62.05,61.05
lobster_kiarash_parity_kia40_2000_feature40_legacy,1,periodic_epoch_20000.pt,0.32137583976848194,0.00510301792842407,0.0,0.042335008579694945,0.03337409593393363,0.3269474622643909,0.002189897909947158,0.0,0.021869091511552165,0.010876961106624032,0.1830322986453119,33.145,6.3596560441583625,37.559999999999995,5.483374873196251,32.585,6.416426185969882,62.05,61.05
lobster_kiarash_parity_kia40_2000_feature40_legacy,2,periodic_epoch_20000.pt,0.3748367796747137,0.005006673118794014,0.0,0.032982168974907446,0.02764691392987062,0.2792017957676104,0.004137464779976457,0.0,0.02047946082886763,0.00890120974816156,0.11866277717069759,36.209999999999994,5.42461058510194,40.925,4.738472855256217,35.57,5.433792414143183,62.05,61.05
