mode,metric,mean,std,min,max
topology_control,f1_pr,0.9455536863271281,0.022327713464847552,0.9070966147932227,0.9805925280421898
topology_control,precision,0.930952380952381,0.021951296326887828,0.9,0.9714285714285714
topology_control,recall,0.9623809523809523,0.04589498018682662,0.8523809523809524,1.0
topology_control,mmd_rbf,0.007216823101043701,0.007880206209089038,0.00018095970153808594,0.022011637687683105
topology_control,mmd_linear,128030333.07246093,378799181.3909295,5494.34375,1264363264.0
decoded_node,f1_pr,0.934143590954983,0.0301863254168632,0.8884235704001897,0.9855172484771894
decoded_node,precision,0.9528571428571428,0.027059185990810246,0.9095238095238095,0.9904761904761905
decoded_node,recall,0.9166666666666666,0.03968412695238222,0.8476190476190476,1.0
decoded_node,mmd_rbf,0.02299654483795166,0.013399108711183728,0.00013947486877441406,0.03839564323425293
decoded_node,mmd_linear,2404843.008544922,7193614.295721953,2427.74169921875,23985680.0
